CO(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,AH,hola1
2,-200,14,5,1134,360,566,138,1403,12,8187
3,-200,16,9,1207,448,535,143,1498,11,8223
5,-200,24,3,1412,733,450,196,1704,10,8253
5,-200,26,1,1458,847,428,197,1750,8,8185
5,-200,26,4,1463,765,435,189,1720,7,7632
5,-200,25,7,1447,715,435,188,1710,8,7344
5,-200,18,2,1246,716,513,190,1504,8,7238
1,-200,6,2,819,235,782,126,1101,8,7011
1,-200,6,7,845,198,780,113,1127,6,6872
2,-200,7,5,877,293,735,129,1142,6,6450
2,-200,7,5,878,356,737,128,1140,4,
2,-200,6,2,820,285,778,122,1087,4,6425
1,-200,5,1,767,-200,827,-200,1041,3,6439
-200,4,8,756,266,834,115,1015,878,4,6406
1,-200,3,1,659,158,940,92,972,3,6366
1,-200,2,8,641,95,1013,70,940,4,6450
1,-200,4,3,728,148,902,83,1004,3,6534
1,-200,9,7,967,337,703,127,1201,3,6627
2,-200,10,9,1012,453,650,142,1230,4,6720
2,-200,10,6,1001,497,653,155,1216,4,6921
2,-200,10,0,977,448,673,153,1199,5,7058
2,-200,11,6,1035,496,633,177,1259,7,6597
3,-200,15,6,1166,535,567,179,1382,8,6686
4,-200,18,1,1244,644,536,212,1454,10,6993
3,-200,12,3,1061,459,622,182,1257,12,7491
2,-200,11,4,1029,409,635,168,1243,12,7487
3,-200,15,2,1154,515,573,179,1391,10,6842
3,-200,17,4,1223,640,525,182,1454,8,6608
5,-200,20,8,1319,816,496,194,1524,7,6226
3,-200,12,8,1078,505,616,166,1265,7,6232
3,-200,14,7,1140,560,590,168,1317,6,6028
2,-200,8,3,910,389,717,148,1112,5,5863
3,-200,11,1,1017,492,655,151,1207,5,5811
3,-200,13,6,1104,531,623,165,1257,5,5706
3,-200,9,8,970,487,705,165,1136,4,5549
2,-200,7,6,884,293,748,128,1062,5,5343
1,-200,6,0,813,-200,794,-200,1019,4,5368
1,-200,5,9,807,219,819,115,1021,3,5483
1,-200,4,2,721,198,923,120,956,4,5034
1,-200,4,5,737,166,910,106,977,4,4769
1,-200,5,4,783,255,835,118,1013,3,4554
1,-200,4,8,751,312,898,156,984,5,4406
1,-200,6,3,827,236,876,130,1037,6,4401
1,-200,2,6,625,172,1054,112,846,9,4285
1,-200,2,6,629,138,1076,96,847,10,4310
0,-200,2,2,602,121,1123,89,824,11,4334
1,-200,3,0,652,143,1060,98,857,11,4331
0,-200,1,9,576,114,1142,85,809,11,4377
0,-200,2,0,584,107,1144,80,821,11,4542
1,-200,2,8,642,176,1037,112,859,11,4228
1,-200,3,3,668,180,1017,121,872,10,4100
1,-200,3,4,674,212,1002,132,893,8,4106
2,-200,7,1,861,331,839,160,977,8,4193
2,-200,7,4,873,369,820,167,984,8,4179
1,-200,4,3,730,274,959,157,893,7,4280
1,-200,3,9,705,199,995,130,880,7,4349
1,-200,5,2,771,248,905,145,936,6,4484
1,-200,3,8,701,197,954,133,899,6,4454
1,-200,3,5,682,147,991,110,881,6,4489
1,-200,2,9,648,135,1001,100,875,4,4385
0,-200,1,4,534,-200,1168,-200,833,4,4364
0,-200,1,1,512,95,1228,79,836,3,4419
0,-200,1,0,504,94,1258,79,840,2,4464
0,-200,1,6,552,121,1162,90,857,3,4426
1,-200,3,2,667,131,1005,95,916,3,4472
3,-200,15,9,1176,552,612,169,1357,1,4414
4,-200,18,0,1239,614,574,199,1346,2,4393
3,-200,14,7,1139,530,617,186,1271,4,4384
3,-200,15,1,1153,721,612,208,1244,8,4292
2,-200,13,4,1096,474,639,178,1219,10,4076
3,-200,14,5,1134,514,603,176,1227,11,3630
3,-200,14,7,1138,504,611,177,1233,11,3865
3,-200,17,0,1209,508,588,182,1264,12,4573
3,-200,15,3,1158,529,615,182,1200,12,5115
4,-200,21,2,1330,676,535,193,1363,11,5170
8,-200,43,0,1831,1216,374,272,1964,9,5008
8,-200,37,2,1712,1230,384,225,1811,7,4921
3,-200,16,7,1201,582,563,181,1251,7,4832
3,-200,13,4,1098,460,610,172,1170,6,4809
1,-200,8,7,926,340,715,153,1053,5,4639
1,-200,7,4,875,298,751,143,1010,4,4578
1,-200,6,7,845,300,775,142,993,3,4516
1,-200,5,0,762,223,850,131,948,3,
1,-200,3,4,677,151,958,105,901,3,4604
0,-200,2,4,613,-200,1016,-200,878,3,4743
-200,2,1,592,108,1076,83,869,915,5,4608
0,-200,2,5,618,125,1023,87,893,3,4661
0,-200,3,5,680,181,936,106,914,4,4768
1,-200,6,9,855,341,783,140,1025,3,4841
3,-200,16,8,1204,552,599,167,1337,3,4985
5,-200,20,3,1305,839,509,175,1383,4,5697
5,-200,25,0,1428,1049,477,235,1536,5,6010
3,-200,17,2,1215,796,542,196,1332,5,6331
4,-200,21,4,1336,999,479,211,1483,5,6667
4,-200,25,1,1432,1022,445,234,1605,5,6796
5,-200,28,0,1502,1023,420,240,1697,5,6954
4,-200,26,1,1457,1065,431,243,1640,5,7022
4,-200,24,7,1420,1098,436,224,1598,5,7352
4,-200,24,5,1416,1099,436,240,1614,5,8022
4,-200,27,7,1496,939,410,215,1733,5,9237
5,-200,26,0,1455,875,423,216,1725,5,9577
4,-200,21,7,1342,745,466,184,1588,6,9923
1,-200,6,0,813,339,774,152,1233,10,9972
0,-200,3,3,670,135,932,104,1187,11,9885
0,-200,4,9,758,167,820,104,1241,9,9725
0,-200,6,6,840,232,712,124,1298,9,7661
1,-200,6,7,842,273,723,127,1286,9,6590
0,-200,4,4,733,165,822,109,1208,9,6820
-200,-200,1,5,549,-200,1106,-200,1008,6,6627
-200,-200,1,1,506,75,1222,73,945,4,6362
-200,-200,0,9,492,53,1263,52,948,4,6512
-200,-200,1,2,515,72,1235,57,941,5,6644
0,-200,2,5,622,130,1046,89,992,5,6537
0,-200,7,6,881,265,760,128,1203,7,6824
1,-200,7,3,868,314,732,152,1158,7,7024
0,-200,3,7,692,194,923,128,1020,6,7073
-200,-200,2,5,618,180,1036,124,994,5,6753
-200,-200,2,7,634,181,1009,117,1018,6,6333
0,-200,4,6,742,193,889,110,1099,8,6402
0,-200,6,7,845,263,771,128,1132,10,6228
0,-200,4,3,729,176,904,114,1014,9,6200
0,-200,4,3,729,168,891,110,1013,9,5992
0,-200,4,1,715,170,915,112,1015,8,5809
1,-200,7,6,883,234,766,130,1139,8,5808
2,-200,7,0,858,256,770,135,1109,8,5918
2,-200,9,6,962,257,721,141,1167,9,5781
2,-200,7,8,892,317,758,141,1109,9,5755
1,-200,2,4,611,135,1053,95,918,8,5772
1,-200,3,9,707,159,963,97,1005,8,5766
1,-200,4,1,715,186,896,112,995,8,5742
1,-200,2,5,618,102,1032,74,948,8,5755
0,-200,1,3,530,75,1169,62,893,8,5690
0,-200,1,2,514,-200,1205,-200,880,8,5784
0,-200,0,7,470,41,1315,40,863,7,5734
0,-200,0,9,493,50,1278,45,876,7,5660
0,-200,2,9,646,189,1013,93,954,7,5605
1,-200,2,7,636,182,992,104,947,7,5558
3,-200,14,4,1130,636,616,162,1316,7,5329
4,-200,17,2,1217,704,552,169,1409,7,5117
4,-200,17,4,1223,854,547,190,1381,8,4723
2,-200,11,5,1031,652,649,170,1181,12,4259
2,-200,11,9,1047,529,641,151,1175,13,3536
2,-200,12,6,1071,438,638,150,1178,14,4076
3,-200,14,3,1128,438,626,154,1191,14,4381
2,-200,10,3,990,378,745,140,1018,15,5068
3,-200,14,5,1134,482,639,167,1172,15,5337
4,-200,21,9,1349,709,534,204,1386,13,5381
6,-200,28,5,1516,796,455,210,1594,11,5458
4,-200,21,2,1330,605,511,182,1414,10,5417
3,-200,16,0,1179,472,577,165,1259,9,5419
2,-200,13,0,1085,411,618,150,1205,8,5623
2,-200,7,0,856,264,758,132,1032,8,5609
1,-200,6,4,829,217,773,120,1015,7,5654
1,-200,5,8,801,211,780,119,1035,8,5806
1,-200,5,6,795,179,786,110,1039,6,
1,-200,4,5,740,135,847,94,992,6,6054
1,-200,4,6,744,-200,836,-200,1000,5,6178
-200,5,9,808,221,757,101,1046,1172,4,6192
1,-200,6,6,841,284,702,117,1056,5,6351
1,-200,9,2,948,357,628,121,1129,5,6406
2,-200,12,2,1056,469,582,138,1230,6,6403
4,-200,22,6,1367,766,465,174,1558,7,6415
5,-200,29,0,1527,875,419,179,1761,7,6608
4,-200,19,4,1280,800,500,175,1481,8,6790
4,-200,20,5,1311,815,482,183,1476,9,6919
4,-200,22,5,1365,841,464,189,1526,10,7181
5,-200,24,0,1403,827,451,198,1579,11,7930
2,-200,13,9,1113,402,573,142,1291,12,7808
3,-200,16,8,1204,415,526,139,1401,13,7777
3,-200,20,2,1303,435,469,99,1520,13,7924
1,-200,16,4,1191,570,519,135,1426,13,8123
2,-200,18,0,1239,530,506,223,1458,12,8150
1,-200,20,3,1305,617,476,194,1547,12,8115
4,-200,38,1,1731,983,355,244,2083,10,7968
6,-200,35,7,1679,1200,370,243,2005,9,7904
3,-200,21,8,1345,1028,459,230,1608,8,7862
1,-200,18,2,1246,797,496,207,1498,8,7826
2,-200,20,1,1300,977,483,223,1524,7,7779
1,-200,14,4,1131,811,552,216,1362,7,7848
1,-200,15,1,1153,757,542,198,1395,7,7416
0,-200,13,1,1087,-200,571,-200,1333,6,7276
0,-200,11,5,1032,388,605,126,1297,7,7349
0,-200,13,7,1106,497,568,144,1322,5,7544
0,-200,11,6,1036,582,590,183,1242,5,7682
0,-200,13,2,1091,574,565,193,1307,5,7900
0,-200,15,6,1167,588,522,196,1392,6,8152
1,-200,16,9,1207,645,502,208,1431,6,8288
1,-200,18,5,1254,643,484,217,1472,9,8495
1,-200,16,6,1198,628,502,246,1426,11,8394
1,-200,15,0,1150,547,527,204,1393,14,6034
1,-200,15,0,1149,461,535,192,1417,15,5068
1,-200,16,9,1206,455,515,186,1500,14,4193
0,-200,7,0,857,244,770,133,1068,15,4157
-200,-200,5,9,806,202,851,126,994,15,4077
-200,-200,7,1,862,256,823,138,972,14,3422
0,-200,8,6,925,310,776,148,1016,13,3848
0,-200,12,2,1057,391,687,167,1126,12,4035
0,-200,12,6,1072,444,704,175,1103,11,4016
2,-200,21,1,1327,794,549,224,1328,9,3872
2,-200,16,9,1208,716,587,215,1219,8,4006
1,-200,15,1,1152,565,610,196,1165,8,4093
0,-200,10,1,981,451,697,195,993,8,4025
-200,-200,7,5,880,313,784,181,946,7,4234
-200,-200,7,6,883,241,783,150,978,5,3861
-200,-200,5,9,808,-200,849,-200,926,4,4006
-200,-200,5,5,788,224,854,139,938,4,3947
-200,-200,2,3,609,82,1101,74,810,4,4017
-200,-200,2,0,581,89,1112,73,829,2,4123
-200,-200,1,6,552,93,1165,77,812,3,4180
-200,-200,2,1,594,134,1119,98,839,2,4032
-200,-200,4,4,735,189,915,121,942,3,4327
-200,-200,6,4,828,292,791,162,987,5,4459
-200,-200,7,3,871,326,775,178,996,5,4480
-200,-200,8,7,927,397,722,206,1047,7,4533
-200,-200,9,2,948,371,712,191,1072,7,5629
-200,-200,7,9,896,305,737,175,1040,8,6678
-200,-200,9,0,940,328,706,169,1088,8,6942
-200,-200,7,0,857,281,756,180,1075,8,7031
-200,-200,3,7,694,168,911,124,1025,7,7074
-200,-200,4,3,727,183,849,130,1057,5,6979
-200,-200,6,8,846,217,767,141,1157,5,6924
-200,-200,8,7,926,245,674,157,1220,5,6887
-200,-200,4,7,749,154,827,123,1050,7,6791
-200,-200,3,5,685,141,903,104,1042,5,6728
-200,-200,5,4,782,210,798,134,1101,6,6630
-200,-200,4,4,733,140,848,105,1064,5,5493
-200,-200,6,0,811,191,773,121,1129,5,5519
0,-200,7,6,884,248,704,136,1173,4,5026
-200,-200,1,9,578,-200,1017,-200,876,5,4745
-200,-200,1,0,498,50,1237,48,855,5,4686
0,-200,0,6,459,43,1421,40,809,6,5061
0,-200,1,2,520,86,1296,67,832,7,5293
0,-200,2,9,644,152,1028,104,902,6,5249
1,-200,11,1,1018,341,688,169,1210,7,4971
2,-200,9,7,967,355,682,203,1147,6,4877
1,-200,5,7,800,327,797,183,1007,8,4788
0,-200,5,4,783,240,844,151,976,10,4560
0,-200,5,1,771,217,852,138,975,11,4256
0,-200,5,8,804,191,829,127,997,10,4375
0,-200,5,6,791,-200,825,-200,963,10,4341
1,-200,8,0,898,256,759,148,1034,10,4206
1,-200,7,1,860,287,787,172,993,10,4341
1,-200,7,6,884,278,780,163,1014,8,4257
1,-200,10,4,992,302,715,180,1092,7,4247
1,-200,8,9,934,259,740,169,1014,7,4034
1,-200,7,3,870,221,795,152,971,6,4041
0,-200,3,6,689,142,970,107,866,6,3928
-200,-200,1,7,559,93,1183,75,781,6,3836
-200,-200,1,5,541,71,1250,58,779,6,3867
-200,-200,1,0,504,66,1306,57,760,5,4436
-200,-200,0,6,459,49,1447,44,735,5,4323
-200,-200,0,4,424,29,1583,29,726,5,4530
-200,-200,0,3,412,-200,1651,-200,763,4,4559
-200,-200,0,2,399,19,1696,19,749,4,3862
-200,-200,0,2,388,20,1785,20,765,3,3843
-200,-200,0,1,383,39,1745,35,787,3,4168
-200,-200,0,4,434,77,1556,60,763,3,4943
0,-200,2,9,646,180,1068,115,876,4,4534
0,-200,5,4,785,243,853,157,969,4,4063
0,-200,5,1,769,236,856,147,1000,3,3968
0,-200,3,8,702,297,935,188,924,5,4194
0,-200,3,9,703,235,968,126,892,5,4327
0,-200,3,6,686,186,972,114,880,5,4432
0,-200,4,2,722,196,932,123,917,4,4430
0,-200,3,6,687,167,980,107,914,4,4721
0,-200,3,6,689,211,966,121,909,5,4760
0,-200,3,9,706,194,928,118,923,5,4771
0,-200,4,9,758,206,858,134,985,4,4782
1,-200,5,8,803,211,813,142,1012,4,4351
1,-200,6,1,814,197,790,133,1040,4,4127
0,-200,2,8,638,139,990,106,910,3,3901
0,-200,2,4,616,113,1071,87,870,4,3939
-200,-200,1,5,546,81,1194,67,796,3,4144
-200,-200,1,1,514,63,1285,55,771,3,4423
-200,-200,0,9,487,55,1346,49,769,4,4137
-200,-200,0,4,428,31,1532,30,757,3,4062
-200,-200,0,3,410,-200,1622,-200,765,3,4110
-200,-200,0,2,390,20,1775,20,738,3,3915
-200,-200,0,1,383,17,1881,17,720,2,3934
-200,-200,0,5,441,42,1646,35,760,2,3778
-200,-200,0,9,492,90,1310,71,783,3,4136
0,-200,3,3,668,227,1043,136,887,3,4131
0,-200,4,4,733,250,902,163,901,3,4199
0,-200,2,8,638,219,1022,143,860,4,4166
0,-200,3,2,662,211,1007,134,874,4,3955
0,-200,2,7,634,189,1053,130,868,4,3884
0,-200,3,5,683,180,993,122,894,4,3984
0,-200,4,8,751,197,891,129,913,4,4305
0,-200,3,4,678,198,987,132,866,5,3821
0,-200,4,2,721,203,924,133,900,5,3970
0,-200,4,2,720,188,912,126,922,4,4180
1,-200,8,5,918,294,752,177,1033,5,4398
1,-200,9,2,945,302,729,185,1073,5,4704
1,-200,7,6,884,261,763,169,1048,4,4688
1,-200,6,2,822,232,794,151,1025,4,3900
0,-200,2,9,645,154,966,114,922,4,3571
0,-200,2,5,620,120,986,90,904,4,3487
0,-200,2,6,628,117,1009,87,857,4,3379
0,-200,2,2,597,108,1059,83,808,4,3571
0,-200,2,5,622,97,1025,74,826,4,3804
-200,-200,0,8,480,-200,1259,-200,738,4,3556
-200,-200,0,3,412,28,1481,28,727,4,3267
0,-200,0,3,417,27,1531,26,745,4,3367
0,-200,0,7,470,81,1313,61,762,4,3634
0,-200,1,4,533,129,1198,91,775,4,3760
1,-200,6,6,837,336,822,184,972,4,3861
2,-200,8,4,917,335,739,204,1038,4,3944
2,-200,5,5,790,318,839,185,934,5,4046
1,-200,3,5,683,201,961,125,872,7,3779
1,-200,3,0,649,166,1009,104,854,6,3584
1,-200,4,1,716,192,930,115,893,6,3367
1,-200,4,7,748,198,900,126,900,7,3155
1,-200,4,5,736,198,921,125,881,7,3131
1,-200,4,7,747,223,924,139,850,7,3178
1,-200,5,1,769,224,913,142,865,6,3306
2,-200,7,7,886,266,819,170,928,5,3390
2,-200,10,3,987,326,750,195,1025,5,3451
3,-200,11,5,1032,343,717,202,1049,4,3551
2,-200,6,0,811,243,863,168,911,4,3701
1,-200,3,6,689,177,995,128,838,4,3716
1,-200,4,3,725,155,953,115,855,4,3774
1,-200,3,4,677,143,999,111,827,3,3822
1,-200,2,4,613,124,1075,97,810,3,3835
0,-200,2,0,585,94,1120,77,807,3,3919
0,-200,1,4,534,-200,1146,-200,781,3,3975
0,-200,1,2,522,56,1158,51,779,3,3926
0,-200,0,9,486,58,1282,49,781,4,4073
0,-200,1,6,554,105,1159,79,819,4,4117
0,-200,1,7,559,122,1138,92,810,4,4043
1,-200,6,2,823,274,827,167,992,4,4271
2,-200,8,2,909,342,742,206,1055,4,4210
1,-200,6,4,832,296,822,184,966,4,4087
1,-200,5,9,808,279,838,176,975,4,4075
1,-200,5,7,798,325,842,191,941,4,4118
1,-200,5,3,781,222,871,147,925,4,3991
2,-200,7,3,871,279,793,174,997,4,
1,-200,5,1,767,248,888,167,920,4,
1,-200,3,9,706,193,949,138,860,3,
1,-200,-200,0,-200,256,-200,164,-200,-200,
2,-200,-200,0,-200,288,-200,190,-200,-200,
3,-200,-200,0,-200,300,-200,198,-200,-200,
1,-200,-200,0,-200,224,-200,155,-200,-200,
1,-200,-200,0,-200,219,-200,153,-200,-200,
1,-200,-200,0,-200,145,-200,110,-200,-200,
1,-200,-200,0,-200,115,-200,91,-200,-200,3528
1,-200,-200,0,-200,136,-200,105,-200,-200,3692
1,-200,-200,0,-200,107,-200,85,-200,-200,3687
0,-200,0,8,480,70,1306,60,745,1,3657
0,-200,0,6,455,-200,1376,-200,751,1,3591
0,-200,0,5,445,37,1460,34,737,1,3561
0,-200,0,5,448,33,1494,31,734,1,3642
0,-200,0,6,458,43,1473,37,735,1,3785
0,-200,0,9,494,73,1324,58,754,1,3778
0,-200,2,0,586,125,1163,92,814,1,3706
1,-200,2,8,641,154,1022,110,857,1,3674
1,-200,2,8,642,140,1027,101,836,2,3722
1,-200,3,0,652,150,1025,96,833,2,3668
1,-200,2,4,610,139,1051,102,819,3,3697
1,-200,2,5,618,135,1027,96,830,3,3688
1,-200,3,0,653,152,987,102,845,3,3689
1,-200,2,2,602,121,1071,88,809,3,3671
1,-200,2,6,629,122,1049,87,817,4,3707
1,-200,3,4,676,167,998,115,855,4,3700
1,-200,3,0,653,165,980,118,847,3,3661
1,-200,3,1,657,190,981,134,844,3,3725
1,-200,3,4,678,176,960,125,861,2,3726
1,-200,2,9,649,196,983,140,849,3,3782
1,-200,1,7,561,103,1102,83,791,2,3762
1,-200,1,6,553,91,1136,73,792,2,3658
1,-200,2,3,604,119,1051,92,815,2,3504
1,-200,2,2,599,147,1023,109,825,3,3473
1,-200,1,7,560,101,1107,82,787,3,3420
1,-200,2,2,599,-200,1065,-200,813,3,3337
-200,-200,1,8,565,102,1097,83,793,3,3308
0,-200,0,6,459,55,1322,50,728,3,3259
0,-200,0,6,454,51,1374,44,727,3,3299
0,-200,0,4,431,53,1439,49,722,2,3330
0,-200,0,7,465,74,1358,62,736,2,3426
0,-200,1,2,520,113,1202,85,762,3,3488
0,-200,1,4,537,107,1148,82,757,4,3561
0,-200,2,0,583,101,1126,77,765,5,3281
1,-200,2,0,585,129,1097,92,776,7,2927
0,-200,1,6,552,126,1128,95,760,6,2774
0,-200,1,6,553,132,1133,95,742,8,3017
0,-200,1,8,566,101,1176,76,717,7,2772
1,-200,1,8,569,128,1151,95,709,7,2726
1,-200,2,6,625,170,1062,118,763,7,2730
1,-200,2,0,582,174,1120,123,719,6,2898
1,-200,2,8,641,215,1077,140,759,5,3064
1,-200,3,9,708,248,972,163,787,5,3203
1,-200,4,1,715,247,965,164,797,4,3276
1,-200,2,4,615,154,1095,120,752,4,3076
1,-200,3,5,685,186,996,130,820,4,2982
1,-200,4,6,741,231,901,145,864,2,2989
1,-200,3,0,650,174,987,126,782,3,3024
0,-200,1,0,495,68,1282,61,685,4,3075
0,-200,0,5,446,-200,1395,-200,657,4,3012
0,-200,0,4,435,39,1486,37,668,3,2833
0,-200,0,3,415,39,1474,37,667,3,2732
0,-200,0,6,449,54,1363,50,674,3,3280
0,-200,1,4,538,158,1164,109,726,3,3359
1,-200,7,1,863,350,826,198,923,3,2753
-200,-200,14,0,1116,-200,617,-200,1130,4,2581
3,-200,15,1,1153,584,602,283,1141,6,2477
2,-200,12,5,1066,478,683,256,1040,10,2606
3,-200,12,8,1078,563,683,261,1028,11,2872
2,-200,11,9,1048,414,707,181,983,12,2908
2,-200,11,7,1040,398,711,194,976,13,3030
2,-200,14,7,1139,451,643,214,1097,13,3116
3,-200,15,7,1170,503,618,204,1131,14,3344
4,-200,21,1,1328,640,552,228,1294,13,3771
6,-200,27,4,1490,843,488,270,1433,10,3795
6,-200,30,8,1570,954,455,285,1557,8,3922
6,-200,29,2,1533,984,456,282,1532,7,4056
3,-200,15,0,1149,586,587,235,1148,6,4120
2,-200,7,1,863,360,737,208,960,5,4150
1,-200,5,4,782,231,798,161,940,5,4263
1,-200,4,8,756,200,813,146,921,4,4621
1,-200,3,8,698,153,871,123,894,4,4807
1,-200,3,5,680,135,879,109,904,4,4878
0,-200,3,3,670,-200,868,-200,917,3,4661
0,-200,3,6,688,196,814,115,935,2,4730
0,-200,3,8,701,208,795,114,945,1,4938
1,-200,4,2,724,241,814,122,944,2,4967
1,-200,7,7,886,417,702,149,1056,2,4979
3,-200,20,0,1298,896,492,187,1441,3,5020
4,-200,22,1,1353,966,449,198,1492,3,5226
4,-200,17,2,1215,878,503,196,1343,4,5589
4,-200,21,4,1334,985,466,218,1434,5,6118
4,-200,19,8,1292,1017,479,227,1379,7,6648
3,-200,18,8,1264,683,497,181,1408,9,6898
4,-200,18,8,1264,660,487,179,1476,11,6967
3,-200,16,7,1202,492,506,151,1411,12,5201
3,-200,14,4,1129,497,540,162,1392,13,4324
3,-200,16,3,1190,562,508,165,1434,12,4318
3,-200,14,4,1128,539,573,173,1255,10,4389
4,-200,17,0,1211,502,559,188,1243,9,4505
4,-200,14,8,1143,452,595,186,1208,8,4688
3,-200,9,8,971,357,683,172,1059,7,5007
3,-200,6,1,818,289,777,150,966,7,5074
2,-200,5,4,783,221,805,137,969,6,5177
2,-200,4,7,747,204,820,133,964,6,5281
2,-200,5,1,769,183,807,122,993,6,5215
2,-200,6,9,854,222,722,130,1065,5,5059
2,-200,7,3,869,-200,680,-200,1075,3,5034
2,-200,4,8,753,210,764,121,986,3,4857
2,-200,3,6,688,185,846,115,920,3,4787
2,-200,4,5,737,257,792,125,946,2,4859
2,-200,5,2,771,297,795,136,941,3,4942
4,-200,15,1,1151,573,566,174,1286,2,4832
6,-200,27,3,1485,883,422,224,1638,2,4398
5,-200,19,6,1285,824,501,230,1390,5,3221
4,-200,14,8,1143,693,560,205,1236,9,3114
4,-200,14,5,1132,714,577,204,1206,12,2884
2,-200,10,1,981,388,721,139,1000,13,2956
2,-200,10,1,983,337,728,133,979,13,3074
1,-200,8,3,913,326,762,127,930,14,3194
1,-200,9,0,940,329,759,124,960,14,3597
3,-200,13,4,1096,465,645,158,1092,13,3953
4,-200,19,5,1284,612,536,171,1285,10,3906
5,-200,27,8,1499,759,461,193,1527,8,3904
5,-200,31,4,1584,771,436,195,1641,8,3999
4,-200,15,6,1168,655,571,212,1195,6,4079
1,-200,7,0,855,332,748,193,939,5,4226
1,-200,7,8,892,287,719,167,979,4,4323
1,-200,5,6,791,242,793,156,915,4,4379
1,-200,6,0,812,242,782,153,940,3,4337
1,-200,3,9,707,192,860,128,902,3,4327
0,-200,2,8,642,-200,950,-200,871,3,4368
-200,-200,2,6,623,134,954,96,873,2,4322
0,-200,2,9,645,142,916,105,882,1,4410
0,-200,2,8,640,194,923,130,870,2,4491
0,-200,4,2,724,216,861,134,938,1,4499
3,-200,16,7,1202,728,534,275,1352,1,4425
5,-200,29,1,1530,975,416,309,1706,2,4476
4,-200,20,7,1317,947,495,322,1425,5,4864
3,-200,15,5,1164,790,570,333,1230,8,5396
2,-200,10,3,989,551,643,235,1084,11,5869
2,-200,13,8,1110,565,568,241,1208,12,6111
2,-200,12,7,1074,532,574,214,1255,13,6180
2,-200,11,4,1030,459,597,174,1246,14,6342
2,-200,10,2,986,407,612,157,1240,15,6578
2,-200,14,3,1128,434,545,170,1344,14,6503
6,-200,32,4,1605,980,383,212,1870,12,6304
6,-200,29,0,1527,966,393,249,1758,10,6237
3,-200,17,6,1227,646,485,231,1414,9,6132
2,-200,12,6,1069,471,571,216,1271,8,5890
3,-200,15,5,1164,528,524,217,1350,6,5797
2,-200,9,1,943,378,645,203,1149,6,5568
1,-200,6,4,828,235,734,161,1067,6,5523
1,-200,5,1,771,217,781,147,1030,5,5575
0,-200,3,3,672,141,887,111,954,4,5367
0,-200,5,3,777,-200,778,-200,1031,2,5271
0,-200,3,1,657,158,895,115,948,5,5198
0,-200,2,2,601,87,974,80,920,3,5182
0,-200,3,9,703,194,843,122,988,1,5176
1,-200,6,9,854,401,714,186,1075,1,5267
4,-200,19,7,1288,887,492,306,1472,2,5212
3,-200,20,1,1300,654,499,301,1405,4,4821
3,-200,16,3,1189,566,534,274,1325,7,4665
3,-200,14,3,1127,649,558,247,1277,12,4707
1,-200,7,0,857,309,735,169,1028,15,4548
1,-200,6,3,825,229,781,138,994,14,4476
1,-200,8,6,923,312,712,149,1085,12,4373
1,-200,6,6,841,276,792,165,979,12,4372
1,-200,6,1,816,236,816,156,959,11,4458
1,-200,8,8,932,312,719,184,1018,11,4409
2,-200,9,4,954,345,687,197,1085,9,4433
3,-200,11,8,1043,386,639,204,1169,8,4408
2,-200,11,3,1025,356,653,207,1147,7,4351
2,-200,9,7,968,467,680,208,1102,7,4471
1,-200,5,8,805,287,807,174,958,6,4548
1,-200,5,3,776,239,843,157,946,6,4536
1,-200,5,3,778,266,828,166,947,5,4633
1,-200,5,1,769,261,816,167,952,4,4571
1,-200,4,8,751,223,828,154,939,4,4523
1,-200,6,4,828,-200,735,-200,997,2,4591
2,-200,7,0,859,272,703,164,1017,1,4598
1,-200,4,4,731,226,815,149,936,1,4564
0,-200,5,6,792,250,757,150,957,0,4345
1,-200,7,3,868,402,705,205,1021,1,4091
3,-200,12,7,1074,708,614,283,1198,2,3980
4,-200,11,3,1024,759,646,310,1134,4,4025
1,-200,4,9,760,302,877,200,890,7,3981
0,-200,3,8,702,210,932,147,847,9,3874
1,-200,3,4,678,180,960,128,838,9,3716
1,-200,4,2,723,165,922,121,880,9,3718
1,-200,3,7,696,180,932,129,850,9,3669
0,-200,3,3,668,147,991,110,819,9,3567
1,-200,3,4,674,177,968,126,824,9,3566
0,-200,3,1,659,157,990,121,807,8,3773
0,-200,4,3,725,195,933,142,847,7,3874
1,-200,6,2,821,263,846,174,915,6,3809
1,-200,5,2,774,239,854,168,917,6,3605
1,-200,5,8,801,267,826,180,944,5,3228
1,-200,3,5,685,214,934,157,870,4,3230
1,-200,4,9,760,236,869,162,898,4,3638
1,-200,4,7,749,251,900,173,834,4,3658
1,-200,4,9,756,255,902,176,843,3,3542
1,-200,5,0,761,235,854,172,876,3,3515
0,-200,2,9,644,-200,972,-200,832,2,3489
-200,-200,2,6,624,129,987,108,825,0,3467
0,-200,1,8,572,95,1070,88,788,1,3468
0,-200,1,3,531,95,1146,85,774,1,3424
0,-200,1,5,543,100,1132,88,787,0,3551
0,-200,1,3,526,110,1169,94,771,0,3591
0,-200,2,0,582,149,1091,115,791,0,3242
1,-200,4,3,727,197,891,137,908,4,3105
2,-200,6,7,844,351,780,212,979,8,3320
1,-200,4,6,743,249,886,173,840,10,3481
1,-200,3,5,683,188,981,135,790,11,3516
